time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=26, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=29, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=31, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=34, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=36, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=39, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=41, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=44, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=46, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=49, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=51, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=54, tm_wday=6, tm_yday=199, tm_isdst=0)C61 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=56, tm_wday=6, tm_yday=199, tm_isdst=0)C63 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=59, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=1, tm_wday=6, tm_yday=199, tm_isdst=0)C62 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=4, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=6, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=9, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=11, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=14, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
